Date,Whitehole,X800,IHSG CLOSE
01/20/2025,0,0,"7,170.74"
01/21/2025,0,0,"7,181.82"
01/22/2025,0,0,"7,257.13"
01/23/2025,0,0,"7,232.64"
01/24/2025,0,0,"7,166.06"
01/30/2025,0.9038461538,723.0769231,"7,073.48"
01/31/2025,1.277777778,1022.222222,"7,109.20"
02/03/2025,2.36,1888,"7,030.06"
02/04/2025,1.896551724,1517.241379,"7,073.46"
02/05/2025,1.827586207,1462.068966,"7,024.23"
02/06/2025,1.323529412,1058.823529,"6,875.54"
02/07/2025,1.470588235,1176.470588,"6,742.58"
02/10/2025,1.925925926,1540.740741,"6,648.14"
02/11/2025,2.107142857,1685.714286,"6,531.99"
02/12/2025,2,1600,"6,645.78"
02/13/2025,1.636363636,1309.090909,"6,613.57"
02/14/2025,1.5,1200,"6,638.46"
02/17/2025,1.024390244,819.5121951,"6,830.88"
02/18/2025,0.5740740741,459.2592593,"6,873.55"
02/19/2025,0.435483871,348.3870968,"6,794.87"
02/20/2025,0.4666666667,373.3333333,"6,788.04"
02/21/2025,0.5172413793,413.7931034,"6,803.00"
02/24/2025,1.157894737,926.3157895,"6,749.60"
02/25/2025,1.416666667,1133.333333,"6,587.09"
02/26/2025,1.529411765,1223.529412,"6,606.18"
02/27/2025,2.708333333,2166.666667,"6,485.45"
02/28/2025,2.913043478,2330.434783,"6,270.60"
03/03/2025,3.181818182,2545.454545,"6,519.66"
03/04/2025,4.235294118,3388.235294,"6,380.40"
03/05/2025,2.818181818,2254.545455,"6,531.40"
03/06/2025,2.52,2016,"6,617.85"
03/07/2025,0.8974358974,717.9487179,"6,636.00"
03/10/2025,0.7391304348,591.3043478,"6,598.21"
03/11/2025,0.3548387097,283.8709677,"6,545.85"
03/12/2025,0.5555555556,444.4444444,"6,665.04"
03/13/2025,1.766666667,1413.333333,"6,647.42"
03/14/2025,2.178571429,1742.857143,"6,515.63"
03/17/2025,1.741935484,1393.548387,"6,471.95"
03/18/2025,1.6875,1350,"6,223.39"
03/19/2025,1.965517241,1572.413793,"6,311.66"
03/20/2025,3.631578947,2905.263158,"6,381.67"
03/21/2025,2.541666667,2033.333333,"6,258.18"
03/24/2025,2.47826087,1982.608696,"6,161.22"
